Suma de Año,Suma de Dia,DiaSemana,Suma de EsLaborable,Año,Trimestre,Mes,Día,Mes,Suma de MesNum,Suma de SemanaISO
2024,5,Friday,1,2024,Qtr 1,enero,5,January,1,1
2024,12,Friday,1,2024,Qtr 1,enero,12,January,1,2
2024,19,Friday,1,2024,Qtr 1,enero,19,January,1,3
2024,26,Friday,1,2024,Qtr 1,enero,26,January,1,4
2024,2,Friday,1,2024,Qtr 1,febrero,2,February,2,5
2024,9,Friday,1,2024,Qtr 1,febrero,9,February,2,6
2024,16,Friday,1,2024,Qtr 1,febrero,16,February,2,7
2024,23,Friday,1,2024,Qtr 1,febrero,23,February,2,8
2024,1,Friday,1,2024,Qtr 1,marzo,1,March,3,9
2024,8,Friday,1,2024,Qtr 1,marzo,8,March,3,10
2024,15,Friday,1,2024,Qtr 1,marzo,15,March,3,11
2024,22,Friday,1,2024,Qtr 1,marzo,22,March,3,12
2024,29,Friday,1,2024,Qtr 1,marzo,29,March,3,13
2024,5,Friday,1,2024,Qtr 2,abril,5,April,4,14
2024,12,Friday,1,2024,Qtr 2,abril,12,April,4,15
2024,19,Friday,1,2024,Qtr 2,abril,19,April,4,16
2024,26,Friday,1,2024,Qtr 2,abril,26,April,4,17
2024,3,Friday,1,2024,Qtr 2,mayo,3,May,5,18
2024,10,Friday,1,2024,Qtr 2,mayo,10,May,5,19
2024,17,Friday,1,2024,Qtr 2,mayo,17,May,5,20
2024,24,Friday,1,2024,Qtr 2,mayo,24,May,5,21
2024,31,Friday,1,2024,Qtr 2,mayo,31,May,5,22
2024,7,Friday,1,2024,Qtr 2,junio,7,June,6,23
2024,14,Friday,1,2024,Qtr 2,junio,14,June,6,24
2024,21,Friday,1,2024,Qtr 2,junio,21,June,6,25
2024,28,Friday,1,2024,Qtr 2,junio,28,June,6,26
2024,5,Friday,1,2024,Qtr 3,julio,5,July,7,27
2024,12,Friday,1,2024,Qtr 3,julio,12,July,7,28
2024,19,Friday,1,2024,Qtr 3,julio,19,July,7,29
2024,26,Friday,1,2024,Qtr 3,julio,26,July,7,30
2024,2,Friday,1,2024,Qtr 3,agosto,2,August,8,31
2024,9,Friday,1,2024,Qtr 3,agosto,9,August,8,32
2024,16,Friday,1,2024,Qtr 3,agosto,16,August,8,33
2024,23,Friday,1,2024,Qtr 3,agosto,23,August,8,34
2024,30,Friday,1,2024,Qtr 3,agosto,30,August,8,35
2024,6,Friday,1,2024,Qtr 3,septiembre,6,September,9,36
2024,13,Friday,1,2024,Qtr 3,septiembre,13,September,9,37
2024,20,Friday,1,2024,Qtr 3,septiembre,20,September,9,38
2024,27,Friday,1,2024,Qtr 3,septiembre,27,September,9,39
2024,4,Friday,1,2024,Qtr 4,octubre,4,October,10,40
2024,11,Friday,1,2024,Qtr 4,octubre,11,October,10,41
2024,18,Friday,1,2024,Qtr 4,octubre,18,October,10,42
2024,25,Friday,1,2024,Qtr 4,octubre,25,October,10,43
