venta_id,ticketid,productoid,producto,ticketid_producto,fecha,fecha_ruta,rutaid,cantidad,preciounit,ingresos_total,pasajeros,objetivoventas
14607,31,5,Refresco,31 - Refresco,2024-01-01,2024-01-01_PMI-BCN,8,3,3.66,10.98,99,12.34
14548,2,3,Bocadillo,2 - Bocadillo,2024-01-01,2024-01-01_MAD-BCN,1,1,9.7,9.7,114,10.42
14549,3,2,Cerveza,3 - Cerveza,2024-01-01,2024-01-01_MAD-BCN,1,3,7.96,23.88,114,14.47
14550,3,3,Bocadillo,3 - Bocadillo,2024-01-01,2024-01-01_MAD-BCN,1,3,9.6,28.8,114,15.94
14551,3,5,Refresco,3 - Refresco,2024-01-01,2024-01-01_MAD-BCN,1,2,3.37,6.74,114,13.41
14552,4,6,Café,4 - Café,2024-01-01,2024-01-01_MAD-BCN,1,1,4.11,4.11,114,16.44
14553,5,6,Café,5 - Café,2024-01-01,2024-01-01_MAD-BCN,1,1,4.21,4.21,114,17.61
14554,5,1,Agua,5 - Agua,2024-01-01,2024-01-01_MAD-BCN,1,2,2.07,4.14,114,18.88
14555,6,6,Café,6 - Café,2024-01-01,2024-01-01_MAD-BCN,1,2,3.7,7.4,114,7.07
14556,7,4,Snack,7 - Snack,2024-01-01,2024-01-01_BCN-MAD,2,2,5.69,11.38,82,11.03
14557,7,5,Refresco,7 - Refresco,2024-01-01,2024-01-01_BCN-MAD,2,1,3.43,3.43,82,17.63
14558,8,1,Agua,8 - Agua,2024-01-01,2024-01-01_BCN-MAD,2,1,2.01,2.01,82,11.96
14559,9,5,Refresco,9 - Refresco,2024-01-01,2024-01-01_BCN-MAD,2,3,3.26,9.78,82,16.85
14560,9,3,Bocadillo,9 - Bocadillo,2024-01-01,2024-01-01_BCN-MAD,2,2,9.97,19.94,82,8.31
14561,10,5,Refresco,10 - Refresco,2024-01-01,2024-01-01_BCN-MAD,2,2,3.08,6.16,82,17.49
14562,10,2,Cerveza,10 - Cerveza,2024-01-01,2024-01-01_BCN-MAD,2,1,7.53,7.53,82,12.87
14563,11,6,Café,11 - Café,2024-01-01,2024-01-01_MAD-PMI,3,1,4.26,4.26,50,18.06
14564,12,2,Cerveza,12 - Cerveza,2024-01-01,2024-01-01_MAD-PMI,3,3,7.88,23.64,50,17.02
14565,12,5,Refresco,12 - Refresco,2024-01-01,2024-01-01_MAD-PMI,3,2,3.34,6.68,50,11.87
14566,12,1,Agua,12 - Agua,2024-01-01,2024-01-01_MAD-PMI,3,1,2.02,2.02,50,7.53
14567,13,6,Café,13 - Café,2024-01-01,2024-01-01_MAD-PMI,3,1,4.45,4.45,50,19.35
14568,13,2,Cerveza,13 - Cerveza,2024-01-01,2024-01-01_MAD-PMI,3,3,7.84,23.52,50,16.64
14569,14,4,Snack,14 - Snack,2024-01-01,2024-01-01_MAD-PMI,3,2,6.45,12.9,50,13.6
14570,15,6,Café,15 - Café,2024-01-01,2024-01-01_PMI-MAD,4,2,4.37,8.74,187,13.14
14571,16,5,Refresco,16 - Refresco,2024-01-01,2024-01-01_PMI-MAD,4,1,3.39,3.39,187,10.44
14572,16,4,Snack,16 - Snack,2024-01-01,2024-01-01_PMI-MAD,4,1,5.63,5.63,187,17.94
14573,16,1,Agua,16 - Agua,2024-01-01,2024-01-01_PMI-MAD,4,1,2.8,2.8,187,18.87
14574,17,1,Agua,17 - Agua,2024-01-01,2024-01-01_PMI-MAD,4,1,2.33,2.33,187,6.22
14575,17,6,Café,17 - Café,2024-01-01,2024-01-01_PMI-MAD,4,1,3.95,3.95,187,11.84
14576,17,3,Bocadillo,17 - Bocadillo,2024-01-01,2024-01-01_PMI-MAD,4,1,9.51,9.51,187,18.12
14614,34,2,Cerveza,34 - Cerveza,2024-01-01,2024-01-01_PMI-BCN,8,1,7.67,7.67,99,7.95
14613,34,4,Snack,34 - Snack,2024-01-01,2024-01-01_PMI-BCN,8,2,6.07,12.14,99,19.53
14612,33,1,Agua,33 - Agua,2024-01-01,2024-01-01_PMI-BCN,8,3,2.3,6.9,99,10.76
14611,33,4,Snack,33 - Snack,2024-01-01,2024-01-01_PMI-BCN,8,1,5.66,5.66,99,14.11
14547,1,6,Café,1 - Café,2024-01-01,2024-01-01_MAD-BCN,1,1,4.1,4.1,114,17.62
14610,33,3,Bocadillo,33 - Bocadillo,2024-01-01,2024-01-01_PMI-BCN,8,1,9.82,9.82,99,14.23
14609,32,6,Café,32 - Café,2024-01-01,2024-01-01_PMI-BCN,8,3,3.73,11.19,99,18.74
14608,32,1,Agua,32 - Agua,2024-01-01,2024-01-01_PMI-BCN,8,3,2.01,6.03,99,9.69
14577,18,2,Cerveza,18 - Cerveza,2024-01-01,2024-01-01_PMI-MAD,4,3,8.45,25.35,187,16.21
14578,19,6,Café,19 - Café,2024-01-01,2024-01-01_PMI-MAD,4,1,4.38,4.38,187,6.8
14579,19,2,Cerveza,19 - Cerveza,2024-01-01,2024-01-01_PMI-MAD,4,2,7.81,15.62,187,13.87
