TicketID,Fecha,Ruta,Fecha-Ruta,Producto,Cantidad,PrecioUnit,Pasajeros,ObjetivoVentas,DiaSemana
1,2024-01-01,MAD-BCN,2024-01-01_MAD-BCN,Café,1,4.1,114,1762,Monday
2,2024-01-01,MAD-BCN,2024-01-01_MAD-BCN,Bocadillo,1,9.7,114,1042,Monday
3,2024-01-01,MAD-BCN,2024-01-01_MAD-BCN,Cerveza,3,7.96,114,1447,Monday
3,2024-01-01,MAD-BCN,2024-01-01_MAD-BCN,Bocadillo,3,9.6,114,1594,Monday
3,2024-01-01,MAD-BCN,2024-01-01_MAD-BCN,Refresco,2,3.37,114,1341,Monday
4,2024-01-01,MAD-BCN,2024-01-01_MAD-BCN,Café,1,4.11,114,1644,Monday
5,2024-01-01,MAD-BCN,2024-01-01_MAD-BCN,Café,1,4.21,114,1761,Monday
5,2024-01-01,MAD-BCN,2024-01-01_MAD-BCN,Agua,2,2.07,114,1888,Monday
6,2024-01-01,MAD-BCN,2024-01-01_MAD-BCN,Café,2,3.7,114,707,Monday
7,2024-01-01,BCN-MAD,2024-01-01_BCN-MAD,Snack,2,5.69,82,1103,Monday
7,2024-01-01,BCN-MAD,2024-01-01_BCN-MAD,Refresco,1,3.43,82,1763,Monday
8,2024-01-01,BCN-MAD,2024-01-01_BCN-MAD,Agua,1,2.01,82,1196,Monday
9,2024-01-01,BCN-MAD,2024-01-01_BCN-MAD,Refresco,3,3.26,82,1685,Monday
9,2024-01-01,BCN-MAD,2024-01-01_BCN-MAD,Bocadillo,2,9.97,82,831,Monday
10,2024-01-01,BCN-MAD,2024-01-01_BCN-MAD,Refresco,2,3.08,82,1749,Monday
10,2024-01-01,BCN-MAD,2024-01-01_BCN-MAD,Cerveza,1,7.53,82,1287,Monday
11,2024-01-01,MAD-PMI,2024-01-01_MAD-PMI,Café,1,4.26,50,1806,Monday
12,2024-01-01,MAD-PMI,2024-01-01_MAD-PMI,Cerveza,3,7.88,50,1702,Monday
12,2024-01-01,MAD-PMI,2024-01-01_MAD-PMI,Refresco,2,3.34,50,1187,Monday
12,2024-01-01,MAD-PMI,2024-01-01_MAD-PMI,Agua,1,2.02,50,753,Monday
13,2024-01-01,MAD-PMI,2024-01-01_MAD-PMI,Café,1,4.45,50,1935,Monday
13,2024-01-01,MAD-PMI,2024-01-01_MAD-PMI,Cerveza,3,7.84,50,1664,Monday
14,2024-01-01,MAD-PMI,2024-01-01_MAD-PMI,Snack,2,6.45,50,1360,Monday
15,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Café,2,4.37,187,1314,Monday
16,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Refresco,1,3.39,187,1044,Monday
16,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Snack,1,5.63,187,1794,Monday
16,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Agua,1,2.8,187,1887,Monday
17,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Agua,1,2.33,187,622,Monday
17,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Café,1,3.95,187,1184,Monday
17,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Bocadillo,1,9.51,187,1812,Monday
18,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Cerveza,3,8.45,187,1621,Monday
19,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Café,1,4.38,187,680,Monday
19,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Cerveza,2,7.81,187,1387,Monday
19,2024-01-01,PMI-MAD,2024-01-01_PMI-MAD,Refresco,1,3.53,187,1730,Monday
20,2024-01-01,MAD-AGP,2024-01-01_MAD-AGP,Refresco,3,3.19,58,747,Monday
20,2024-01-01,MAD-AGP,2024-01-01_MAD-AGP,Agua,3,2.29,58,1900,Monday
20,2024-01-01,MAD-AGP,2024-01-01_MAD-AGP,Bocadillo,2,9.94,58,934,Monday
21,2024-01-01,MAD-AGP,2024-01-01_MAD-AGP,Snack,1,6.13,58,1212,Monday
21,2024-01-01,MAD-AGP,2024-01-01_MAD-AGP,Cerveza,2,8.15,58,1647,Monday
21,2024-01-01,MAD-AGP,2024-01-01_MAD-AGP,Café,3,3.71,58,629,Monday
22,2024-01-01,AGP-MAD,2024-01-01_AGP-MAD,Snack,3,6.08,141,1179,Monday
22,2024-01-01,AGP-MAD,2024-01-01_AGP-MAD,Refresco,3,3.88,141,1696,Monday
23,2024-01-01,AGP-MAD,2024-01-01_AGP-MAD,Snack,3,5.56,141,1375,Monday
23,2024-01-01,AGP-MAD,2024-01-01_AGP-MAD,Agua,3,2.84,141,844,Monday
23,2024-01-01,AGP-MAD,2024-01-01_AGP-MAD,Café,2,3.86,141,766,Monday
24,2024-01-01,AGP-MAD,2024-01-01_AGP-MAD,Café,1,3.59,141,993,Monday
25,2024-01-01,BCN-PMI,2024-01-01_BCN-PMI,Snack,1,5.67,245,1555,Monday
26,2024-01-01,BCN-PMI,2024-01-01_BCN-PMI,Snack,2,6.02,245,1544,Monday
27,2024-01-01,BCN-PMI,2024-01-01_BCN-PMI,Cerveza,3,8.31,245,1567,Monday
27,2024-01-01,BCN-PMI,2024-01-01_BCN-PMI,Bocadillo,3,10.21,245,1513,Monday
28,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Cerveza,3,7.93,99,1334,Monday
28,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Agua,1,2.8,99,672,Monday
28,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Refresco,2,3.25,99,1210,Monday
29,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Café,1,4.34,99,1940,Monday
29,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Bocadillo,1,9.81,99,1102,Monday
29,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Agua,3,2.88,99,1532,Monday
30,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Agua,2,2.51,99,1225,Monday
30,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Café,2,4.45,99,1230,Monday
31,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Café,3,3.8,99,1366,Monday
31,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Bocadillo,3,9.59,99,1794,Monday
31,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Refresco,3,3.66,99,1234,Monday
32,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Agua,3,2.01,99,969,Monday
32,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Café,3,3.73,99,1874,Monday
33,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Bocadillo,1,9.82,99,1423,Monday
33,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Snack,1,5.66,99,1411,Monday
33,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Agua,3,2.3,99,1076,Monday
34,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Snack,2,6.07,99,1953,Monday
34,2024-01-01,PMI-BCN,2024-01-01_PMI-BCN,Cerveza,1,7.67,99,795,Monday
35,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Cerveza,2,8.02,218,1527,Tuesday
35,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Agua,3,2.52,218,1046,Tuesday
35,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Bocadillo,3,9.65,218,958,Tuesday
36,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Refresco,2,3.83,218,1042,Tuesday
36,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Bocadillo,3,10.27,218,1817,Tuesday
36,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Snack,3,5.59,218,635,Tuesday
37,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Cerveza,2,7.72,218,797,Tuesday
37,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Agua,3,2.63,218,1462,Tuesday
38,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Bocadillo,2,10.39,218,1618,Tuesday
38,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Agua,3,2.02,218,890,Tuesday
39,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Snack,3,5.55,218,681,Tuesday
39,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Cerveza,2,8.05,218,1600,Tuesday
39,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Café,3,3.94,218,963,Tuesday
40,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Snack,1,6.19,218,623,Tuesday
40,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Bocadillo,1,10.33,218,1039,Tuesday
40,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Café,2,3.51,218,1519,Tuesday
41,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Bocadillo,1,9.54,218,674,Tuesday
41,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Agua,3,2.99,218,1657,Tuesday
41,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Cerveza,2,8.16,218,1026,Tuesday
42,2024-01-02,MAD-BCN,2024-01-02_MAD-BCN,Agua,1,2.51,218,942,Tuesday
43,2024-01-02,BCN-MAD,2024-01-02_BCN-MAD,Bocadillo,1,9.91,150,975,Tuesday
43,2024-01-02,BCN-MAD,2024-01-02_BCN-MAD,Agua,1,2.52,150,1615,Tuesday
44,2024-01-02,BCN-MAD,2024-01-02_BCN-MAD,Agua,1,2.83,150,1975,Tuesday
45,2024-01-02,BCN-MAD,2024-01-02_BCN-MAD,Snack,3,6.3,150,773,Tuesday
46,2024-01-02,BCN-MAD,2024-01-02_BCN-MAD,Bocadillo,1,10.38,150,1850,Tuesday
46,2024-01-02,BCN-MAD,2024-01-02_BCN-MAD,Café,2,4.22,150,926,Tuesday
47,2024-01-02,BCN-MAD,2024-01-02_BCN-MAD,Cerveza,3,7.77,150,1849,Tuesday
48,2024-01-02,BCN-MAD,2024-01-02_BCN-MAD,Refresco,1,3.35,150,857,Tuesday
48,2024-01-02,BCN-MAD,2024-01-02_BCN-MAD,Café,3,4.17,150,1318,Tuesday
48,2024-01-02,BCN-MAD,2024-01-02_BCN-MAD,Agua,3,2.53,150,1122,Tuesday
49,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Snack,1,5.99,159,1702,Tuesday
49,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Refresco,3,3.76,159,1705,Tuesday
50,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Cerveza,3,7.74,159,1676,Tuesday
50,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Bocadillo,2,9.86,159,1906,Tuesday
50,2024-01-02,MAD-PMI,2024-01-02_MAD-PMI,Snack,1,6.27,159,797,Tuesday
